2022-11-13 15:01:07: -- Analysis Started by Trying Locks Again
2022-11-13 15:01:57: Changes: 148, Conflicts: 0, CopyTime: 0, FixState: 0, Errors: 0, All: 42796
2022-11-13 15:01:57: Right to Left: Copy File: 148 
2022-11-13 15:01:57: == Sync Started by Trying Locks Again
2022-11-13 15:01:58: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/010268d025e7ae5e4e228283c4a3203d.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/010268d025e7ae5e4e228283c4a3203d.json' (1,247)
2022-11-13 15:01:58: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/005404e3a46fbf79e3ef779731819103.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/005404e3a46fbf79e3ef779731819103.json' (3,659)
2022-11-13 15:01:58: Copy Over '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/.eslintcache' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/.eslintcache' (10,586)
2022-11-13 15:01:58: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/08506b586b567e6cef782ab719bfaf63.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/08506b586b567e6cef782ab719bfaf63.json' (3,498)
2022-11-13 15:01:58: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/02d24faecbeafe01919f1894edf1afae.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/02d24faecbeafe01919f1894edf1afae.json' (5,248)
2022-11-13 15:01:58: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/042593f2b429dbe2b21c2edea16ebe4b.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/042593f2b429dbe2b21c2edea16ebe4b.json' (252,270)
2022-11-13 15:01:58: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/08948e5c05cac283279f9dd1e7f9cd6c.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/08948e5c05cac283279f9dd1e7f9cd6c.json' (1,544)
2022-11-13 15:01:58: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/09396748fbe56891910dfed8c8f19504.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/09396748fbe56891910dfed8c8f19504.json' (906)
2022-11-13 15:01:58: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/0a3a72311c3c617c7e6168cc929af9ca.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/0a3a72311c3c617c7e6168cc929af9ca.json' (14,212)
2022-11-13 15:01:58: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/0a51111d9df736d4f419da9f9240c8d4.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/0a51111d9df736d4f419da9f9240c8d4.json' (7,709)
2022-11-13 15:01:58: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/0b00f9adcc278a8acfd03b3fdfa47329.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/0b00f9adcc278a8acfd03b3fdfa47329.json' (16,483)
2022-11-13 15:01:58: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/0a789af965f82317682ca2fbf7e910fb.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/0a789af965f82317682ca2fbf7e910fb.json' (64,197)
2022-11-13 15:01:58: Copy New '//192.168.1.25/papaka/movies-explorer-frontend/node_modules/.cache/babel-loader/0d91da70b600e4f7871e2e972a1e65c3.json' -> 'C:/dev/Diploma/movies-explorer-frontend/node_modules/.cache/babel-loader/0d91da70b600e4f7871e2e972a1e65c3.json' (906)
